Picotin ASQ Pte. Ltd.     UEN:202115498M *** DAILY OPERATION SALES ANALYSIS REPORT ***
From 01/12/2024 06:00 To 08/04/2025 05:59


START,END,SALES AMOUNT,GST,TOTAL,PERCENTAGE,ORDERS COUNT,AVG ORDER
02/04/2025 10:38:41,02/04/2025 22:43:53, 3499.03, 314.94, 3813.97,1.186%,72, 52.97
03/04/2025 11:00:37,03/04/2025 22:36:49, 3565.10, 320.89, 3885.99,1.208%,67, 58.00
04/04/2025 09:49:52,04/04/2025 22:52:56, 4404.16, 396.40, 4800.56,1.492%,82, 58.54
07/04/2025 10:56:00,07/04/2025 22:42:17, 2486.67, 223.80, 2710.47,0.843%,73, 37.13

TOTAL SALES:, 321693.33      


****************************************************************
Note: Refunds, if any, are not reflected in this report.
****************************************************************
