The Hogs Bar PTE. LTD.    UEN: 201016185K *** DAILY OPERATION SALES ANALYSIS REPORT ***
From 21/11/2024 06:00 To 09/04/2025 05:59


START,END,SALES AMOUNT,GST,TOTAL,PERCENTAGE,ORDERS COUNT,AVG ORDER
01/04/2025 15:12:51,01/04/2025 23:03:03, 1692.35, 152.34, 1844.69,0.404%,30, 61.49
02/04/2025 15:53:21,02/04/2025 22:45:49, 1689.36, 152.06, 1841.42,0.404%,23, 80.06
03/04/2025 14:58:35,03/04/2025 22:45:54, 2646.83, 238.24, 2885.07,0.632%,38, 75.92
04/04/2025 15:18:49,05/04/2025 00:36:39, 5216.22, 469.47, 5685.69,1.246%,57, 99.75
05/04/2025 10:54:34,06/04/2025 00:17:05, 6349.35, 571.45, 6920.80,1.517%,62, 111.63
06/04/2025 11:27:35,06/04/2025 22:35:00, 2987.76, 268.92, 3256.68,0.714%,48, 67.85
07/04/2025 15:28:05,07/04/2025 22:48:50, 1361.42, 122.53, 1483.95,0.325%,18, 82.44

TOTAL SALES:, 456273.80      


****************************************************************
Note: Refunds, if any, are not reflected in this report.
****************************************************************
